"coordinates (μm)","size (μm)"
"(852.6315789473683, 597.0526315789473)",14.053855111841148
"(964.6315789473683, 594.5263157894736)",12.343642405968502
"(652.6315789473683, 595.2631578947368)",6.285075075201943
"(896.3157894736842, 590.0)",2.3755350886221316
"(686.8421052631579, 590.5263157894736)",9.200407836564876
"(578.6842105263157, 606.3157894736842)",39.679258827247686
"(761.4035087719298, 594.3859649122807)",23.516597581558134
"(477.8947368421052, 593.1578947368421)",19.444592722333432
"(545.9649122807018, 584.561403508772)",4.751070177244263
"(530.5263157894736, 588.421052631579)",15.024203083391756
"(12.63157894736842, 589.4736842105262)",16.797569701112952
"(515.7894736842104, 584.2105263157894)",12.112899772108616
"(725.6140350877191, 582.1052631578947)",12.112899772108616
"(706.1052631578947, 582.3157894736843)",13.646410135639103
"(374.7368421052631, 579.4736842105262)",7.512101541695878
"(688.4210526315788, 577.1929824561404)",11.637697666402879
"(589.4736842105262, 575.906432748538)",21.772138719269098
"(68.57142857142857, 574.1353383458646)",15.024203083391756
"(918.5964912280702, 572.280701754386)",9.502140354488526
"(6.3157894736842115, 570.8771929824562)",13.226419609082564
"(705.9649122807018, 564.2105263157895)",4.751070177244263
"(858.2456140350877, 561.4035087719299)",4.751070177244263
"(454.35406698564583, 572.0574162679426)",22.029806134545225
"(942.4561403508773, 563.1578947368421)",15.577425305961933
"(676.8421052631579, 560.0)",11.392666062749495
"(350.43859649122805, 581.2280701754386)",46.30770393535491
"(650.0, 557.3684210526316)",10.078541820667771
"(334.3157894736842, 564.0000000000001)",21.511385136632803
"(505.2631578947368, 571.5087719298244)",33.426741653060375
"(212.98245614035082, 618.5185185185185)",95.02140354488525
"(453.1578947368421, 551.578947368421)",10.886069359634549
"(970.5263157894738, 545.2631578947369)",9.502140354488526
"(702.456140350877, 547.719298245614)",14.643781764846418
"(393.2631578947368, 547.7894736842104)",11.142247217686794
"(281.31578947368416, 547.6315789473683)",13.851630826272716
"(631.0047846889952, 547.5598086124401)",28.605230444883134
"(423.1578947368421, 551.3312693498451)",24.109048023497746
"(257.89473684210526, 546.3157894736842)",17.617439730282115
"(534.3859649122807, 552.8070175438596)",27.8049253397068
"(736.0526315789473, 541.8421052631578)",21.511385136632803
"(62.22222222222222, 543.859649122807)",19.004280708977053
"(569.8245614035087, 534.7368421052631)",4.751070177244263
"(52.63157894736842, 533.3333333333333)",4.751070177244263
"(807.9425837320574, 562.2966507177033)",58.767492526500355
"(542.8571428571429, 532.6315789473684)",16.797569701112952
"(921.704260651629, 540.5513784461155)",45.75603720984816
"(606.3157894736843, 523.5087719298244)",5.818848833201439
"(408.9473684210526, 530.2631578947368)",21.379815797599186
"(378.7368421052631, 530.9473684210526)",23.275395332805758
"(281.4035087719298, 523.5087719298245)",7.878758565283274
"(329.82456140350877, 520.7017543859648)",4.751070177244263
"(313.91812865497076, 524.6783625730993)",18.55352215601589
"(425.7894736842105, 519.4736842105262)",10.078541820667771
"(777.7443609022555, 521.5037593984963)",24.45763065939024
"(703.6842105263157, 517.3684210526316)",8.565113568690988
"(474.47368421052624, 521.3157894736842)",18.70498199280201
"(920.7017543859648, 515.438596491228)",17.776876823767378
"(570.0, 507.36842105263156)",7.512101541695878
"(80.70175438596492, 514.0350877192983)",10.886069359634549
"(852.1052631578947, 511.05263157894734)",21.247431764380295
"(640.0, 505.96491228070175)",6.719027880445181
"(514.2583732057416, 515.9808612440191)",25.47477576126275
"(408.4210526315789, 505.96491228070175)",4.751070177244263
"(64.73684210526315, 507.89473684210526)",9.79458208775006
"(30.31578947368421, 506.52631578947364)",10.623715882190147
"(17.263157894736842, 506.1052631578947)",10.35471738813881
"(452.10526315789474, 515.438596491228)",27.8049253397068
"(136.84210526315786, 506.1654135338345)",15.395226929329374
"(3.6842105263157894, 509.47368421052624)",15.024203083391756
"(542.8070175438596, 502.4561403508772)",11.877675443110656
"(424.4210526315789, 503.578947368421)",13.851630826272716
"(653.1578947368421, 497.36842105263156)",10.078541820667771
"(53.333333333333336, 495.43859649122805)",7.512101541695878
"(272.98245614035085, 494.0350877192982)",6.285075075201943
"(857.5438596491227, 491.2280701754385)",4.751070177244263
"(233.1829573934837, 505.36340852130314)",61.99190832604081
"(889.5693779904304, 492.24880382775115)",22.661160453781296
"(340.52631578947364, 487.8947368421052)",9.79458208775006
"(674.2105263157895, 483.6842105263157)",8.565113568690988
"(386.6666666666667, 495.43859649122805)",27.9062186636589
"(719.298245614035, 485.96491228070164)",8.565113568690988
"(293.3333333333333, 486.54970760233914)",24.572726027618927
"(911.5789473684209, 474.3859649122807)",4.751070177244263
"(580.8612440191387, 477.8947368421052)",21.642154639818596
"(438.42105263157896, 479.2105263157895)",18.55352215601589
"(842.1052631578947, 475.7894736842105)",8.229094937312336
"(175.43859649122805, 470.17543859649123)",6.719027880445181
"(650.0584795321638, 475.55555555555554)",22.28449443537359
"(82.80701754385966, 467.3684210526316)",4.751070177244263
"(350.0, 466.84210526315786)",8.565113568690988
"(518.421052631579, 469.4736842105263)",5.818848833201439
"(113.08270676691727, 467.0676691729323)",20.70943477627762
